
🕓 2025-07-08 02:58:09
✅ Used LLM Output File: /Users/7487614/Library/Mobile Documents/com~apple~CloudDocs/Documents/Utrecht SaSR/SoDa/FTOLP/FTOLP_LLM/output/output_classified_batched_by_id_20250707_225336.xlsx
📋 Manual Labels File: /Users/7487614/Library/Mobile Documents/com~apple~CloudDocs/Documents/Utrecht SaSR/SoDa/FTOLP/FTOLP_LLM/evaluate/Final_Data_Pilot_test_ea.xlsx
🎯 Overall Accuracy: 87.65%
  - LPSgoal1: 93.33% (14/15)
  - LPSgoal2: 78.57% (11/14)
  - LPSgoal3: 85.71% (12/14)
  - LPSgoal4: 100.0% (10/10)
  - LPSgoal5: 80.0% (8/10)
  - LPSgoal6: 87.5% (7/8)
  - LPSgoal7: 83.33% (5/6)
  - LPSgoal8: 100.0% (2/2)
  - LPSgoal9: 100.0% (1/1)
  - LPSgoal10: 100.0% (1/1)
