row_index,column_name,goal_text,gpt_response,parsed_category,error
0,LPSgoal1_content,Graduate college with my bachelors,"{""categories"": [""WEC""]}",WEC,
0,LPSgoal2_content,Start teaching,"{""categories"": [""WEC""]}",WEC,
0,LPSgoal3_content,Be married,"{""categories"": [""IR""]}",IR,
0,LPSgoal4_content,nan,,,Empty or missing text
0,LPSgoal5_content,nan,,,Empty or missing text
0,LPSgoal6_content,nan,,,Empty or missing text
0,LPSgoal7_content,nan,,,Empty or missing text
0,LPSgoal8_content,nan,,,Empty or missing text
0,LPSgoal9_content,nan,,,Empty or missing text
0,LPSgoal10_content,nan,,,Empty or missing text
0,LPSgoal11_content,nan,,,Empty or missing text
0,LPSgoal12_content,nan,,,Empty or missing text
0,LPSgoal13_content,nan,,,Empty or missing text
0,LPSgoal14_content,nan,,,Empty or missing text
0,LPSgoal15_content,nan,,,Empty or missing text
1,LPSgoal1_content,I want to be a teacher that can impact students lives.,"{""categories"": [""WEC""]}",WEC,
1,LPSgoal2_content,nan,,,Empty or missing text
1,LPSgoal3_content,nan,,,Empty or missing text
1,LPSgoal4_content,nan,,,Empty or missing text
1,LPSgoal5_content,nan,,,Empty or missing text
1,LPSgoal6_content,nan,,,Empty or missing text
1,LPSgoal7_content,nan,,,Empty or missing text
1,LPSgoal8_content,nan,,,Empty or missing text
1,LPSgoal9_content,nan,,,Empty or missing text
1,LPSgoal10_content,nan,,,Empty or missing text
1,LPSgoal11_content,nan,,,Empty or missing text
1,LPSgoal12_content,nan,,,Empty or missing text
1,LPSgoal13_content,nan,,,Empty or missing text
1,LPSgoal14_content,nan,,,Empty or missing text
1,LPSgoal15_content,nan,,,Empty or missing text
2,LPSgoal1_content,Graduate College,"{""categories"": [""WEC""]}",WEC,
2,LPSgoal2_content,Obtain a Masters in Teaching Degree,"{""categories"": [""WEC""]}",WEC,
2,LPSgoal3_content,Start a Teaching Job,"{""categories"": [""WEC""]}",WEC,
2,LPSgoal4_content,Get Married,"{""categories"": [""IR""]}",IR,
2,LPSgoal5_content,Have children,"{""categories"": [""IR""]}",IR,
2,LPSgoal6_content,To Travel to Africa,"{""categories"": [""Tra""]}",Tra,
2,LPSgoal7_content,To hike more trails/backpacking,"{""categories"": [""EFT""]}",EFT,
2,LPSgoal8_content,Be surrounded by friends and family,"{""categories"": [""IR""]}",IR,
2,LPSgoal9_content,nan,,,Empty or missing text
2,LPSgoal10_content,nan,,,Empty or missing text
2,LPSgoal11_content,nan,,,Empty or missing text
2,LPSgoal12_content,nan,,,Empty or missing text
2,LPSgoal13_content,nan,,,Empty or missing text
2,LPSgoal14_content,nan,,,Empty or missing text
2,LPSgoal15_content,nan,,,Empty or missing text
3,LPSgoal1_content,Graduate college and get a bachelor's degree,"{""categories"": [""WEC""]}",WEC,
3,LPSgoal2_content,obtain a master's degree,"{""categories"": [""WEC""]}",WEC,
3,LPSgoal3_content,get hired as a teacher,"{""categories"": [""WEC""]}",WEC,
3,LPSgoal4_content,have a child,"{""categories"": [""IR""]}",IR,
3,LPSgoal5_content,nan,,,Empty or missing text
3,LPSgoal6_content,nan,,,Empty or missing text
3,LPSgoal7_content,nan,,,Empty or missing text
3,LPSgoal8_content,nan,,,Empty or missing text
3,LPSgoal9_content,nan,,,Empty or missing text
3,LPSgoal10_content,nan,,,Empty or missing text
3,LPSgoal11_content,nan,,,Empty or missing text
3,LPSgoal12_content,nan,,,Empty or missing text
3,LPSgoal13_content,nan,,,Empty or missing text
3,LPSgoal14_content,nan,,,Empty or missing text
3,LPSgoal15_content,nan,,,Empty or missing text
4,LPSgoal1_content,Become an elementary teacher,"{""categories"": [""WEC""]}",WEC,
4,LPSgoal2_content,Have a family,"{""categories"": [""IR""]}",IR,
4,LPSgoal3_content,Move out of my parents home,"{""categories"": [""Hou""]}",Hou,
4,LPSgoal4_content,Live in a city,"{""categories"": [""MAR"", ""Hou""]}","MAR, Hou",
4,LPSgoal5_content,Work as a fitness instructor,"{""categories"": [""WEC"", ""EFT""]}","WEC, EFT",
4,LPSgoal6_content,Own a dog,"{""categories"": [""Oth""]}",Oth,
4,LPSgoal7_content,Graduate college,"{""categories"": [""WEC""]}",WEC,
4,LPSgoal8_content,Earn my masters in education,"{""categories"": [""WEC""]}",WEC,
4,LPSgoal9_content,Get married,"{""categories"": [""IR""]}",IR,
4,LPSgoal10_content,Travel Abroad,"{""categories"": [""Tra""]}",Tra,
4,LPSgoal11_content,nan,,,Empty or missing text
4,LPSgoal12_content,nan,,,Empty or missing text
4,LPSgoal13_content,nan,,,Empty or missing text
4,LPSgoal14_content,nan,,,Empty or missing text
4,LPSgoal15_content,nan,,,Empty or missing text
5,LPSgoal1_content,Graduate grad school,"{""categories"": [""WEC""]}",WEC,
5,LPSgoal2_content,Move to Portland,"{""categories"": [""MAR""]}",MAR,
5,LPSgoal3_content,Write a book,"{""categories"": [""WEC""]}",WEC,
5,LPSgoal4_content,Form a long term romantic relationship,"{""categories"": [""IR""]}",IR,
5,LPSgoal5_content,Become a special ed teacher,"{""categories"": [""WEC""]}",WEC,
5,LPSgoal6_content,nan,,,Empty or missing text
5,LPSgoal7_content,nan,,,Empty or missing text
5,LPSgoal8_content,nan,,,Empty or missing text
5,LPSgoal9_content,nan,,,Empty or missing text
5,LPSgoal10_content,nan,,,Empty or missing text
5,LPSgoal11_content,nan,,,Empty or missing text
5,LPSgoal12_content,nan,,,Empty or missing text
5,LPSgoal13_content,nan,,,Empty or missing text
5,LPSgoal14_content,nan,,,Empty or missing text
5,LPSgoal15_content,nan,,,Empty or missing text
6,LPSgoal1_content,Graduate from college,"{""categories"": [""WEC""]}",WEC,
6,LPSgoal2_content,Get into Graduate School in California,"{""categories"": [""WEC""]}",WEC,
6,LPSgoal3_content,Graduate with a teaching certification and my masters.,"{""categories"": [""WEC""]}",WEC,
6,LPSgoal4_content,To lose weight,"{""categories"": [""HQL""]}",HQL,
6,LPSgoal5_content,To be married after dating for two years and living together for one.,"{""categories"": [""IR""]}",IR,
6,LPSgoal6_content,To start working as an elementary school teacher,"{""categories"": [""WEC""]}",WEC,
6,LPSgoal7_content,To get tenure,"{""categories"": [""WEC""]}",WEC,
6,LPSgoal8_content,To be financially independent.,"{""categories"": [""FS""]}",FS,
6,LPSgoal9_content,To have my first kid,"{""categories"": [""IR""]}",IR,
6,LPSgoal10_content,Second Child,"{""categories"": [""IR""]}",IR,
6,LPSgoal11_content,Save money for college for my children,"{""categories"": [""FS"", ""IR""]}","FS, IR",
6,LPSgoal12_content,To have a close knit family,"{""categories"": [""IR""]}",IR,
6,LPSgoal13_content,nan,,,Empty or missing text
6,LPSgoal14_content,nan,,,Empty or missing text
